group	fill
1	#5F0066
2	#5F0066
3	#630062
4	#66005E
5	#6C0059
6	#75004F
7	#820043
8	#940031
9	#AC001A
10	#B38106
11	#08BD00
12	#009800
13	#008300
14	#007400
15	#006C00
16	#007300
17	#008500
18	#00A800
19	#A69204
20	#A60023
21	#7D0048
22	#5A006B
23	#3D0088
24	#2300A1
25	#1400B0
26	#1000B4
27	#1300B1
28	#1C00A9
29	#2A009B
30	#3C0088
31	#520072
32	#69005C
33	#820042
34	#9B0029
35	#BE0B10
36	#80AF00
37	#009400
38	#006100
39	#202C00
40	#980300
41	#780000
42	#650000
43	#660000
44	#660000
45	#660000
46	#650000
47	#670000
48	#A00000
49	#1C3B00
50	#078E00
51	#8B072E
52	#411E8E
53	#04AE5F
54	#005600
55	#00140C
56	#0000B8
57	#0000A9
58	#000096
59	#000092
60	#000097
61	#0000A3
62	#0000B2
63	#0000C5
64	#00001D
65	#000000
66	#000000
67	#000000
68	#000000
69	#000000
70	#000000
71	#000000
72	#000000
73	#000000
74	#000000
75	#000000
76	#000000
77	#000000
78	#000000
79	#000000
80	#000000
81	#000000
82	#000000
83	#000000
84	#000000
85	#000000
86	#000000
87	#000000
88	#000000
89	#000000
90	#000000
91	#00004B
92	#0000DF
93	#000066
94	#000000
95	#000000
96	#000100
97	#000900
98	#001B00
99	#002D00
100	#003D00
101	#004F00
102	#005F00
103	#006D00
104	#007700
105	#007C00
106	#007C00
107	#007700
108	#006D00
109	#005F00
110	#004F00
111	#003D00
112	#002D00
113	#001B00
114	#000900
115	#000100
116	#000000
117	#000000
118	#000066
119	#0000DF
120	#00004B
121	#000000
122	#000000
123	#000000
124	#000000
125	#000000
126	#000000
127	#000000
128	#000000
129	#000000
130	#000000
131	#000000
132	#000000
133	#000000
134	#000000
135	#000000
136	#000000
137	#000000
138	#000000
139	#000000
140	#000000
141	#5F0066
142	#600065
143	#640061
144	#66005E
145	#6C0059
146	#75004F
147	#820043
148	#930032
149	#A9001D
150	#B46F09
151	#1CBD00
152	#009C00
153	#008700
154	#007800
155	#007100
156	#007800
157	#008B00
158	#00AD00
159	#A38205
160	#A20026
161	#79004B
162	#57006E
163	#3A008B
164	#2200A3
165	#1203B1
166	#0F94B6
167	#1121B3
168	#1B00AA
169	#27009E
170	#39008B
171	#4F0075
172	#66005E
173	#7F0046
174	#98002C
175	#BA0C13
176	#7DB800
177	#009900
178	#006600
179	#003100
180	#690500
181	#840000
182	#640000
183	#660000
184	#660000
185	#660000
186	#650000
187	#680000
188	#AE0200
189	#1E4200
190	#079300
191	#890831
192	#3F1D91
193	#02AC60
194	#005400
195	#00130C
196	#0000B8
197	#0000A9
198	#000096
199	#000092
200	#000097
201	#0000A5
202	#0000B2
203	#0000C5
204	#00001D
205	#000000
206	#000000
207	#000000
208	#000000
209	#000000
210	#000000
211	#000000
212	#000000
213	#000000
214	#000000
215	#000000
216	#000000
217	#000000
218	#000000
219	#000000
220	#000000
221	#000000
222	#000000
223	#000000
224	#000000
225	#000000
226	#000000
227	#000000
228	#000000
229	#000000
230	#000000
231	#00004B
232	#0000DF
233	#000066
234	#000000
235	#000000
236	#000100
237	#000900
238	#001B00
239	#002C00
240	#003D00
241	#004D00
242	#005F00
243	#006B00
244	#007600
245	#007C00
246	#007C00
247	#007600
248	#006B00
249	#005F00
250	#004D00
251	#003D00
252	#002C00
253	#001B00
254	#000900
255	#000100
256	#000000
257	#000000
258	#000066
259	#0000DF
260	#00004B
261	#000000
262	#000000
263	#000000
264	#000000
265	#000000
266	#000000
267	#000000
268	#000000
269	#000000
270	#000000
271	#000000
272	#000000
273	#000000
274	#000000
275	#000000
276	#000000
277	#000000
278	#000000
279	#000000
280	#000000
281	#600065
282	#610064
283	#650060
284	#68005D
285	#6E0057
286	#77004E
287	#820043
288	#920033
289	#A7001E
290	#C20A0B
291	#81B000
292	#00A400
293	#008D00
294	#007F00
295	#007A00
296	#008100
297	#009300
298	#00B100
299	#9C190C
300	#9C002D
301	#740050
302	#530072
303	#37008E
304	#1E00A6
305	#1043B4
306	#0DD5B8
307	#0F71B5
308	#1700AD
309	#2400A1
310	#36008F
311	#4C0079
312	#620063
313	#7A004A
314	#930032
315	#B40618
316	#797E02
317	#00A600
318	#006F00
319	#003C00
320	#780A00
321	#930000
322	#670000
323	#660000
324	#660000
325	#660000
326	#650000
327	#710000
328	#810700
329	#0F4B00
330	#079B00
331	#830837
332	#3C1C94
333	#01A861
334	#005200
335	#00130C
336	#0000B8
337	#0000AA
338	#000099
339	#000094
340	#00009B
341	#0000A6
342	#0000B2
343	#0000C6
344	#00001D
345	#000000
346	#000000
347	#000000
348	#000000
349	#000000
350	#000000
351	#000000
352	#000000
353	#000000
354	#000000
355	#000000
356	#000000
357	#000000
358	#000000
359	#000000
360	#000000
361	#000000
362	#000000
363	#000000
364	#000000
365	#000000
366	#000000
367	#000000
368	#000000
369	#000000
370	#000000
371	#00004B
372	#0000DF
373	#000066
374	#000000
375	#000000
376	#000100
377	#000900
378	#001B00
379	#002A00
380	#003D00
381	#004C00
382	#005D00
383	#006900
384	#007400
385	#007900
386	#007900
387	#007400
388	#006900
389	#005D00
390	#004C00
391	#003D00
392	#002A00
393	#001B00
394	#000900
395	#000100
396	#000000
397	#000000
398	#000066
399	#0000DF
400	#00004B
401	#000000
402	#000000
403	#000000
404	#000000
405	#000000
406	#000000
407	#000000
408	#000000
409	#000000
410	#000000
411	#000000
412	#000000
413	#000000
414	#000000
415	#000000
416	#000000
417	#000000
418	#000000
419	#000000
420	#000000
421	#620063
422	#620063
423	#67005E
424	#69005B
425	#6E0057
426	#77004E
427	#820043
428	#910034
429	#A40021
430	#BE0B0F
431	#79BA00
432	#00AC00
433	#009800
434	#008B00
435	#008600
436	#008E00
437	#009F00
438	#51C200
439	#B61E13
440	#910035
441	#6D0058
442	#4C0079
443	#310094
444	#1A0BAB
445	#0C97B9
446	#08CDBD
447	#0BB9BA
448	#1314B2
449	#1F00A6
450	#310094
451	#450080
452	#5C0069
453	#730051
454	#8B003A
455	#A40021
456	#B94709
457	#29B800
458	#007C00
459	#004A00
460	#611600
461	#A30000
462	#6D0000
463	#640000
464	#660000
465	#660000
466	#640000
467	#870000
468	#530E00
469	#005900
470	#6DAB00
471	#8D093E
472	#351C99
473	#00A564
474	#005200
475	#00130C
476	#0000B8
477	#0000AB
478	#000099
479	#000096
480	#00009B
481	#0000A6
482	#0000B4
483	#0000C7
484	#00001D
485	#000000
486	#000000
487	#000000
488	#000000
489	#000000
490	#000000
491	#000000
492	#000000
493	#000000
494	#000000
495	#000000
496	#000000
497	#000000
498	#000000
499	#000000
500	#000000
501	#000000
502	#000000
503	#000000
504	#000000
505	#000000
506	#000000
507	#000000
508	#000000
509	#000000
510	#000000
511	#00004B
512	#0000DF
513	#000066
514	#000000
515	#000000
516	#000100
517	#000800
518	#001900
519	#002A00
520	#003A00
521	#004A00
522	#005A00
523	#006700
524	#007000
525	#007600
526	#007600
527	#007000
528	#006700
529	#005A00
530	#004A00
531	#003A00
532	#002A00
533	#001900
534	#000800
535	#000100
536	#000000
537	#000000
538	#000066
539	#0000DF
540	#00004B
541	#000000
542	#000000
543	#000000
544	#000000
545	#000000
546	#000000
547	#000000
548	#000000
549	#000000
550	#000000
551	#000000
552	#000000
553	#000000
554	#000000
555	#000000
556	#000000
557	#000000
558	#000000
559	#000000
560	#000000
561	#650060
562	#650060
563	#69005C
564	#6B005A
565	#6F0055
566	#77004E
567	#800045
568	#8E0036
569	#A00025
570	#B30415
571	#AB7604
572	#25C300
573	#00A400
574	#009A00
575	#009600
576	#009E00
577	#17B900
578	#A08104
579	#A90B1F
580	#850040
581	#630061
582	#430081
583	#2A009B
584	#133AB1
585	#05CBC0
586	#02BACC
587	#04C3C2
588	#0DA8B8
589	#190DAC
590	#2A009B
591	#3D0087
592	#520072
593	#69005C
594	#810044
595	#98002C
596	#BA1C14
597	#35A301
598	#009200
599	#005C00
600	#072900
601	#AA0500
602	#8B0000
603	#690000
604	#650000
605	#650000
606	#690000
607	#A50000
608	#5F1C00
609	#007100
610	#786706
611	#860348
612	#2D1C9F
613	#009F60
614	#004E00
615	#00120C
616	#0000BA
617	#0000AD
618	#00009B
619	#000098
620	#00009D
621	#0000A9
622	#0000B6
623	#0000C7
624	#00001D
625	#000000
626	#000000
627	#000000
628	#000000
629	#000000
630	#000000
631	#000000
632	#000000
633	#000000
634	#000000
635	#000000
636	#000000
637	#000000
638	#000000
639	#000000
640	#000000
641	#000000
642	#000000
643	#000000
644	#000000
645	#000000
646	#000000
647	#000000
648	#000000
649	#000000
650	#000000
651	#00004B
652	#0000DF
653	#000066
654	#000000
655	#000000
656	#000100
657	#000900
658	#001700
659	#002800
660	#003700
661	#004700
662	#005600
663	#006100
664	#006C00
665	#007300
666	#007300
667	#006C00
668	#006100
669	#005600
670	#004700
671	#003700
672	#002800
673	#001700
674	#000900
675	#000100
676	#000000
677	#000000
678	#000066
679	#0000DF
680	#00004B
681	#000000
682	#000000
683	#000000
684	#000000
685	#000000
686	#000000
687	#000000
688	#000000
689	#000000
690	#000000
691	#000000
692	#000000
693	#000000
694	#000000
695	#000000
696	#000000
697	#000000
698	#000000
699	#000000
700	#000000
701	#67005E
702	#67005E
703	#6B005A
704	#6D0058
705	#700054
706	#77004E
707	#7F0046
708	#8C0039
709	#9A002B
710	#A7001D
711	#BE2A0E
712	#AE8C02
713	#4CC000
714	#04B700
715	#00B400
716	#47C200
717	#A07D03
718	#B90115
719	#940031
720	#75004F
721	#56006F
722	#38008D
723	#2000A5
724	#0BA0BF
725	#01BCCA
726	#00B280
727	#00B5BA
728	#04C7CA
729	#0F47B9
730	#2000A4
731	#330091
732	#48007D
733	#5C0069
734	#720052
735	#89003C
736	#A30025
737	#A86609
738	#25B100
739	#007600
740	#014700
741	#331B00
742	#A90200
743	#960000
744	#820000
745	#810000
746	#980000
747	#720700
748	#063900
749	#009000
750	#694110
751	#77005A
752	#241887
753	#009605
754	#004B00
755	#00120C
756	#0000BA
757	#0000AE
758	#00009E
759	#00009A
760	#0000A0
761	#0000AB
762	#0000B7
763	#0000C7
764	#00001D
765	#000000
766	#000000
767	#000000
768	#000000
769	#000000
770	#000000
771	#000000
772	#000000
773	#000000
774	#000000
775	#000000
776	#000000
777	#000000
778	#000000
779	#000000
780	#000000
781	#000000
782	#000000
783	#000000
784	#000000
785	#000000
786	#000000
787	#000000
788	#000000
789	#000000
790	#000000
791	#00004B
792	#0000DF
793	#000066
794	#000000
795	#000000
796	#000100
797	#000900
798	#001700
799	#002600
800	#003500
801	#004500
802	#005200
803	#005C00
804	#006600
805	#006C00
806	#006C00
807	#006600
808	#005C00
809	#005200
810	#004500
811	#003500
812	#002600
813	#001700
814	#000900
815	#000100
816	#000000
817	#000000
818	#000066
819	#0000DF
820	#00004B
821	#000000
822	#000000
823	#000000
824	#000000
825	#000000
826	#000000
827	#000000
828	#000000
829	#000000
830	#000000
831	#000000
832	#000000
833	#000000
834	#000000
835	#000000
836	#000000
837	#000000
838	#000000
839	#000000
840	#000000
841	#6D0058
842	#6D0058
843	#6F0056
844	#700054
845	#730052
846	#78004D
847	#7D0047
848	#87003E
849	#930032
850	#9C0028
851	#A7001D
852	#B50012
853	#C6310A
854	#952F06
855	#8F2E06
856	#C0330D
857	#AE071A
858	#95002F
859	#7C0048
860	#5F0065
861	#440081
862	#28009C
863	#1158BD
864	#02B790
865	#00AA2F
866	#00A500
867	#00A823
868	#00B171
869	#04BCB5
870	#1247B7
871	#2400A0
872	#37008E
873	#4A007B
874	#5E0066
875	#730052
876	#88003C
877	#AF0120
878	#716605
879	#00A000
880	#006F00
881	#004500
882	#222200
883	#670C00
884	#A00500
885	#9F0400
886	#770C00
887	#062E00
888	#006900
889	#378900
890	#951223
891	#5C006F
892	#172992
893	#008C00
894	#004500
895	#00110D
896	#0000C1
897	#0000B2
898	#0000A4
899	#0000A1
900	#0000A6
901	#0000AE
902	#0000B9
903	#0000C8
904	#00001D
905	#000000
906	#000000
907	#000000
908	#000000
909	#000000
910	#000000
911	#000000
912	#000000
913	#000000
914	#000000
915	#000000
916	#000000
917	#000000
918	#000000
919	#000000
920	#000000
921	#000000
922	#000000
923	#000000
924	#000000
925	#000000
926	#000000
927	#000000
928	#000000
929	#000000
930	#000000
931	#00004F
932	#0000E9
933	#00006B
934	#000000
935	#000000
936	#000100
937	#000800
938	#001400
939	#002300
940	#003000
941	#003F00
942	#004B00
943	#005600
944	#005E00
945	#006300
946	#006300
947	#005E00
948	#005600
949	#004B00
950	#003F00
951	#003000
952	#002300
953	#001400
954	#000800
955	#000100
956	#000000
957	#000000
958	#00006B
959	#0000E9
960	#00004F
961	#000000
962	#000000
963	#000000
964	#000000
965	#000000
966	#000000
967	#000000
968	#000000
969	#000000
970	#000000
971	#000000
972	#000000
973	#000000
974	#000000
975	#000000
976	#000000
977	#000000
978	#000000
979	#000000
980	#000000
