group	fill
1	#310094
2	#310093
3	#350090
4	#36008F
5	#39008C
6	#3B008A
7	#410084
8	#49007B
9	#520072
10	#5B006A
11	#650060
12	#6E0057
13	#77004D
14	#7D0047
15	#830041
16	#850040
17	#850040
18	#820043
19	#7C0048
20	#76004E
21	#700055
22	#69005B
23	#650060
24	#5E0067
25	#58006E
26	#56006F
27	#520072
28	#4F0076
29	#4B0079
30	#4A007B
31	#48007D
32	#45007F
33	#440080
34	#430082
35	#420083
36	#420083
37	#420083
38	#420083
39	#430081
40	#440080
41	#46007E
42	#47007D
43	#49007C
44	#48007D
45	#46007E
46	#46007E
47	#420083
48	#3B0089
49	#37008E
50	#300094
51	#29009C
52	#2100A3
53	#1A00AA
54	#1400B1
55	#0E85B6
56	#08CDBC
57	#04BEC0
58	#00B7CD
59	#00B297
60	#00AB00
61	#00A600
62	#00A100
63	#009B00
64	#009700
65	#009500
66	#009400
67	#009400
68	#009400
69	#009100
70	#009200
71	#009500
72	#009800
73	#009B00
74	#00A100
75	#00A90B
76	#00B6BF
77	#07A5BF
78	#1400AF
79	#25009F
80	#36008F
81	#46007F
82	#57006E
83	#650060
84	#710053
85	#7A004A
86	#7E0046
87	#800044
88	#7C0048
89	#78004C
90	#720053
91	#68005D
92	#620063
93	#5C0069
94	#56006E
95	#540070
96	#530071
97	#530071
98	#58006D
99	#5D0068
100	#630062
101	#69005B
102	#700055
103	#750050
104	#7B004A
105	#7F0045
106	#810043
107	#830042
108	#850040
109	#840041
110	#850040
111	#850040
112	#850040
113	#840041
114	#850040
115	#88003C
116	#89003B
117	#8B003A
118	#8F0035
119	#95002F
120	#9A002B
121	#9F0025
122	#A20023
123	#A40020
124	#A40021
125	#A20023
126	#9B0029
127	#920032
128	#830041
129	#750050
130	#630062
131	#530071
132	#440080
133	#350090
134	#29009C
135	#1E00A6
136	#1700AE
137	#1300B2
138	#1069B5
139	#0CD2B9
140	#0CC7B9
141	#320092
142	#320092
143	#350090
144	#36008F
145	#39008C
146	#3A008A
147	#420082
148	#49007A
149	#520072
150	#5D0068
151	#650060
152	#6F0056
153	#77004D
154	#7D0047
155	#830041
156	#850040
157	#850040
158	#820043
159	#7C0048
160	#76004E
161	#700055
162	#69005B
163	#650060
164	#5E0067
165	#58006E
166	#56006F
167	#530071
168	#500075
169	#4C0078
170	#4B007A
171	#4A007B
172	#48007C
173	#45007F
174	#440080
175	#440081
176	#430081
177	#430081
178	#440080
179	#45007F
180	#46007E
181	#48007C
182	#49007C
183	#4A007B
184	#4A007B
185	#48007C
186	#46007E
187	#420083
188	#3B0089
189	#37008E
190	#300094
191	#2A009A
192	#2300A1
193	#1C00A8
194	#1500B0
195	#1029B4
196	#0AC0BB
197	#06C1BE
198	#00B9CC
199	#00B393
200	#00AB00
201	#00A600
202	#00A300
203	#009D00
204	#009A00
205	#009800
206	#009600
207	#009500
208	#009400
209	#009400
210	#009500
211	#009500
212	#009A00
213	#009D00
214	#00A400
215	#00AB06
216	#00B9BC
217	#08A6BF
218	#1500AE
219	#26009E
220	#37008E
221	#46007F
222	#57006E
223	#650060
224	#710053
225	#7A004A
226	#7E0046
227	#800044
228	#7C0048
229	#78004C
230	#720053
231	#68005D
232	#620063
233	#5C0069
234	#56006E
235	#540070
236	#530071
237	#530071
238	#58006D
239	#5D0068
240	#630062
241	#69005B
