group	fill
1	#9D9D9D
2	#9D9D9D
3	#9D9D9D
4	#9D9D9D
5	#9C9C9C
6	#9C9C9C
7	#9C9C9C
8	#9C9C9C
9	#9D9D9D
10	#9D9D9D
11	#9D9D9D
12	#9D9D9D
13	#9B9B9B
14	#989898
15	#949494
16	#8D8D8D
17	#838383
18	#757575
19	#676767
20	#585858
21	#484848
22	#393939
23	#2D2D2D
24	#242424
25	#1F1F1F
26	#202020
27	#252525
28	#2F2F2F
29	#3B3B3B
30	#4A4A4A
31	#5A5A5A
32	#6A6A6A
33	#7A7A7A
34	#878787
35	#929292
36	#999999
37	#9E9E9E
38	#A2A2A2
39	#A5A5A5
40	#A9A9A9
41	#AAAAAA
42	#AAAAAA
43	#AAAAAA
44	#A9A9A9
45	#A7A7A7
46	#A4A4A4
47	#A0A0A0
48	#9B9B9B
49	#949494
50	#8D8D8D
51	#858585
52	#7D7D7D
53	#767676
54	#707070
55	#6A6A6A
56	#666666
57	#636363
58	#606060
59	#5F5F5F
60	#5D5D5D
61	#5C5C5C
62	#5B5B5B
63	#595959
64	#575757
65	#555555
66	#515151
67	#4C4C4C
68	#454545
69	#3E3E3E
70	#363636
71	#2F2F2F
72	#282828
73	#232323
74	#212121
75	#202020
76	#232323
77	#282828
78	#303030
79	#3B3B3B
80	#464646
81	#525252
82	#5F5F5F
83	#6B6B6B
84	#767676
85	#818181
86	#8A8A8A
87	#939393
88	#9D9D9D
89	#A6A6A6
90	#AFAFAF
91	#B7B7B7
92	#BEBEBE
93	#C4C4C4
94	#C9C9C9
95	#CACACA
96	#C8C8C8
97	#C3C3C3
98	#BBBBBB
99	#AFAFAF
100	#A3A3A3
101	#979797
102	#8A8A8A
103	#7F7F7F
104	#767676
105	#707070
106	#6F6F6F
107	#707070
108	#757575
109	#7C7C7C
110	#858585
111	#8E8E8E
112	#969696
113	#9E9E9E
114	#A4A4A4
115	#A6A6A6
116	#A4A4A4
117	#9F9F9F
118	#979797
119	#8C8C8C
120	#808080
