group	fill
1	#727272
2	#727272
3	#737373
4	#747474
5	#767676
6	#787878
7	#7C7C7C
8	#7F7F7F
9	#828282
10	#888888
11	#8D8D8D
12	#929292
13	#989898
14	#9C9C9C
15	#A0A0A0
16	#A3A3A3
17	#A4A4A4
18	#A6A6A6
19	#A7A7A7
20	#A8A8A8
21	#A8A8A8
22	#A9A9A9
23	#A9A9A9
24	#A9A9A9
25	#AAAAAA
26	#AAAAAA
27	#ABABAB
28	#ACACAC
29	#AEAEAE
30	#AFAFAF
31	#AFAFAF
32	#B0B0B0
33	#B1B1B1
34	#B2B2B2
35	#B2B2B2
36	#B3B3B3
37	#B5B5B5
38	#B7B7B7
39	#BABABA
40	#BCBCBC
41	#BFBFBF
42	#C0C0C0
43	#C0C0C0
44	#BDBDBD
45	#B9B9B9
46	#B1B1B1
47	#A5A5A5
48	#969696
49	#868686
50	#737373
51	#606060
52	#4D4D4D
53	#3C3C3C
54	#2D2D2D
55	#212121
56	#1A1A1A
57	#151515
58	#121212
59	#121212
60	#131313
61	#151515
62	#181818
63	#1B1B1B
64	#1E1E1E
65	#1F1F1F
66	#1F1F1F
67	#1F1F1F
68	#1F1F1F
69	#1F1F1F
70	#1F1F1F
71	#1F1F1F
72	#1F1F1F
73	#1F1F1F
74	#1F1F1F
75	#1F1F1F
76	#1F1F1F
77	#1F1F1F
78	#1F1F1F
79	#1F1F1F
80	#1F1F1F
81	#1F1F1F
82	#1F1F1F
83	#1F1F1F
84	#1F1F1F
85	#1F1F1F
86	#1F1F1F
87	#1D1D1D
88	#1A1A1A
89	#161616
90	#131313
91	#0F0F0F
92	#0D0D0D
93	#0E0E0E
94	#121212
95	#1A1A1A
96	#252525
97	#373737
98	#4F4F4F
99	#696969
100	#868686
101	#A3A3A3
102	#C0C0C0
103	#DBDBDB
104	#F2F2F2
105	#FFFFFF
106	#FFFFFF
107	#FFFFFF
108	#FFFFFF
109	#FFFFFF
110	#FFFFFF
111	#FFFFFF
112	#FFFFFF
113	#FFFFFF
114	#FFFFFF
115	#FFFFFF
116	#FFFFFF
117	#FDFDFD
118	#E6E6E6
119	#C8C8C8
120	#A8A8A8
121	#878787
122	#686868
123	#4C4C4C
124	#343434
125	#242424
126	#1C1C1C
127	#1D1D1D
128	#242424
129	#303030
130	#3E3E3E
131	#4D4D4D
132	#5C5C5C
133	#6B6B6B
134	#767676
135	#808080
136	#858585
137	#8A8A8A
138	#8C8C8C
139	#8E8E8E
140	#8F8F8F
141	#727272
142	#727272
143	#737373
144	#747474
145	#767676
146	#787878
147	#7C7C7C
148	#7F7F7F
149	#828282
